timestamp,open,high,low,close,volume,turnover
2026-02-17 17:30:00,67440.2,67483.7,66826.2,67208.0,4426.689,297039335.8199
2026-02-17 18:00:00,67208.0,67780.1,67092.0,67705.8,1804.275,121762759.2939
2026-02-17 18:30:00,67705.8,68209.2,67649.7,68054.3,2873.537,195268915.6569
2026-02-17 19:00:00,68054.3,68217.9,67822.7,67849.9,1822.046,123927388.4326
2026-02-17 19:30:00,67849.9,68047.3,67683.6,67768.4,1011.234,68607366.8143
2026-02-17 20:00:00,67768.4,67820.5,67453.1,67706.2,1185.784,80178015.5192
2026-02-17 20:30:00,67706.2,67930.8,67500.0,67721.2,1006.312,68161627.2301
2026-02-17 21:00:00,67721.2,67908.8,67541.7,67557.5,890.143,60254819.8934
2026-02-17 21:30:00,67557.5,67658.9,67500.0,67643.8,574.958,38847842.5536
2026-02-17 22:00:00,67643.8,67672.8,67483.6,67672.8,507.784,34318427.4086
2026-02-17 22:30:00,67672.8,67761.4,67462.0,67493.6,395.125,26717621.2107
2026-02-17 23:00:00,67493.6,67590.0,67341.3,67398.9,619.146,41761999.6052
2026-02-17 23:30:00,67398.9,67550.0,67350.0,67474.9,316.807,21371494.349
2026-02-18 00:00:00,67474.9,67597.0,67404.0,67468.3,328.182,22160356.1411
2026-02-18 00:30:00,67468.3,67583.1,67254.4,67269.3,597.053,40220789.4854
2026-02-18 01:00:00,67269.3,67347.0,67000.2,67011.7,1256.374,84339802.9501
2026-02-18 01:30:00,67011.7,67173.0,66843.5,67133.0,1256.239,84176258.375
2026-02-18 02:00:00,67133.0,67370.0,67111.8,67183.6,787.637,52963359.0029
2026-02-18 02:30:00,67183.6,67391.2,67172.6,67297.8,446.152,30034754.2739
2026-02-18 03:00:00,67297.8,67527.0,67290.1,67504.5,479.141,32302804.9229
2026-02-18 03:30:00,67504.5,67677.4,67471.7,67591.4,612.223,41381120.2504
2026-02-18 04:00:00,67591.4,67679.2,67461.5,67646.9,571.948,38644184.915
2026-02-18 04:30:00,67646.9,67865.4,67591.4,67791.1,695.451,47106182.833
2026-02-18 05:00:00,67791.1,67914.2,67672.3,67692.8,781.201,52957760.9963
2026-02-18 05:30:00,67692.8,67724.4,67565.0,67604.7,640.833,43338490.2277
2026-02-18 06:00:00,67604.7,67870.0,67569.1,67834.8,464.513,31465131.4607
2026-02-18 06:30:00,67834.8,67966.8,67783.8,67816.6,713.333,48407537.5121
2026-02-18 07:00:00,67816.6,67852.1,67660.0,67714.1,448.942,30414627.1003
2026-02-18 07:30:00,67714.1,68200.0,67706.2,68080.3,1528.645,104016317.3779
2026-02-18 08:00:00,68080.3,68440.0,68055.0,68257.9,1692.355,115501725.0958
2026-02-18 08:30:00,68257.9,68278.3,68025.4,68100.1,1330.936,90685680.6655
2026-02-18 09:00:00,68100.1,68234.7,67981.4,68121.6,800.389,54520226.1916
2026-02-18 09:30:00,68121.6,68254.0,68100.2,68128.2,421.535,28742153.9694
2026-02-18 10:00:00,68128.2,68170.0,67938.5,68019.4,778.486,52962595.8141
2026-02-18 10:30:00,68019.4,68019.4,67702.8,67776.7,1149.889,77994732.9575
2026-02-18 11:00:00,67776.7,67776.7,67028.5,67414.5,3946.794,265729904.5714
2026-02-18 11:30:00,67414.5,67562.5,67316.9,67330.2,1228.586,82867796.3128
2026-02-18 12:00:00,67330.2,67652.4,67330.1,67530.1,964.544,65133439.1736
2026-02-18 12:30:00,67530.1,67566.8,67290.0,67425.0,813.192,54836608.544
2026-02-18 13:00:00,67425.0,67563.0,67342.2,67438.2,654.507,44154937.5345
2026-02-18 13:30:00,67438.2,67461.1,67000.0,67207.4,1800.506,121002021.222
2026-02-18 14:00:00,67207.4,67337.4,67024.1,67042.9,1422.289,95548343.696
2026-02-18 14:30:00,67042.9,67294.7,66668.2,67185.0,5223.826,350022589.9697
2026-02-18 15:00:00,67185.0,67521.1,67145.0,67288.4,2916.232,196421782.1846
2026-02-18 15:30:00,67288.4,68326.7,67258.6,67666.7,5484.244,372325996.2653
2026-02-18 16:00:00,67666.7,67679.7,66950.0,67223.6,4018.911,270120616.5399
2026-02-18 16:30:00,67223.6,67302.4,66990.0,67102.7,1209.813,81199016.8083
2026-02-18 17:00:00,67102.7,67459.7,67016.5,67104.0,1701.642,114347375.3182
2026-02-18 17:30:00,67104.0,67208.2,67051.3,67152.6,709.374,47606247.1522
2026-02-18 18:00:00,67152.6,67204.4,66584.9,66843.0,2806.646,187641536.6689
2026-02-18 18:30:00,66843.0,66907.7,66082.6,66321.3,4174.551,277329188.4789
2026-02-18 19:00:00,66321.3,66583.3,66056.7,66235.6,2409.037,159769873.9763
2026-02-18 19:30:00,66235.6,66333.4,65814.6,66138.1,3527.795,233038524.9912
2026-02-18 20:00:00,66138.1,66344.5,66096.3,66258.4,1055.4,69886646.4593
2026-02-18 20:30:00,66258.4,66514.1,66114.8,66231.4,1593.23,105671754.3723
2026-02-18 21:00:00,66231.4,66387.9,66032.3,66373.0,1146.867,75913242.1367
2026-02-18 21:30:00,66373.0,66467.6,66217.6,66300.0,914.715,60694771.1537
2026-02-18 22:00:00,66300.0,66367.5,66185.1,66287.3,460.259,30507463.6136
2026-02-18 22:30:00,66287.3,66455.4,66287.3,66382.5,447.933,29734074.3083
2026-02-18 23:00:00,66382.5,66425.5,66236.8,66287.1,459.321,30455150.9562
2026-02-18 23:30:00,66287.1,66479.2,66287.0,66426.0,476.572,31646317.9014
2026-02-19 00:00:00,66426.0,66571.0,66304.0,66364.3,567.116,37685907.9558
2026-02-19 00:30:00,66364.3,66527.2,66315.3,66403.0,372.79,24763803.9817
2026-02-19 01:00:00,66403.0,66737.0,66402.9,66672.8,1107.714,73800672.6657
2026-02-19 01:30:00,66672.8,66850.8,66591.5,66836.8,841.423,56168683.5677
2026-02-19 02:00:00,66836.8,66938.0,66715.1,66910.9,590.629,39470903.5893
